0.4.0.1862.1.1             = QC_EU_COMPLIANCE
1.3.6.1.4.1.311.2.2.3      = TRUSTED_SERVER_AUTH_CA_LIST
1.3.6.1.4.1.311.2.3.1      = SPC_PE_IMAGE_PAGE_HASHES_V1
1.3.6.1.4.1.311.2.3.2      = SPC_PE_IMAGE_PAGE_HASHES_V2
1.3.6.1.4.1.311.2.4.1      = NESTED_SIGNATURE
1.3.6.1.4.1.311.2.4.2      = INTENT_TO_SEAL
1.3.6.1.4.1.311.2.4.3      = SEALING_SIGNATURE
1.3.6.1.4.1.311.2.4.4      = SEALING_TIMESTAMP
1.3.6.1.4.1.311.2.5.1      = ENHANCED_HASH
1.3.6.1.4.1.311.2.6.1      = SPC_RELAXED_PE_MARKER_CHECK
1.3.6.1.4.1.311.2.6.2      = SPC_ENCRYPTED_DIGEST_RETRY_COUNT
1.3.6.1.4.1.311.3          = Time Stamping
1.3.6.1.4.1.311.3.2.1      = TIME_STAMP_REQUEST
1.3.6.1.4.1.311.4          = Permissions
1.3.6.1.4.1.311.10         = Crypto 2.0
1.3.6.1.4.1.311.10.1       = CTL
1.3.6.1.4.1.311.10.1.1     = SORTED_CTL
1.3.6.1.4.1.311.10.2       = NEXT_UPDATE_LOCATION
1.3.6.1.4.1.311.10.3.1     = KP_CTL_USAGE_SIGNING
1.3.6.1.4.1.311.10.3.2     = KP_TIME_STAMP_SIGNING
1.3.6.1.4.1.311.10.3.3     = SERVER_GATED_CRYPTO
1.3.6.1.4.1.311.10.3.3.1   = SERIALIZED
1.3.6.1.4.1.311.10.3.4     = KP_EFS
1.3.6.1.4.1.311.10.3.4.1   = EFS_RECOVERY
1.3.6.1.4.1.311.10.3.5     = WHQL_CRYPTO
1.3.6.1.4.1.311.10.3.6     = NT5_CRYPTO
1.3.6.1.4.1.311.10.3.7     = OEM_WHQL_CRYPTO
1.3.6.1.4.1.311.10.3.8     = EMBEDDED_NT_CRYPTO
1.3.6.1.4.1.311.10.3.9     = ROOT_LIST_SIGNER
1.3.6.1.4.1.311.10.3.10    = KP_QUALIFIED_SUBORDINATION
1.3.6.1.4.1.311.10.3.11    = KP_KEY_RECOVERY
1.3.6.1.4.1.311.10.3.12    = KP_DOCUMENT_SIGNING
1.3.6.1.4.1.311.10.3.13    = KP_LIFETIME_SIGNING
1.3.6.1.4.1.311.10.3.14    = KP_MOBILE_DEVICE_SOFTWARE
1.3.6.1.4.1.311.10.3.15    = KP_SMART_DISPLAY
1.3.6.1.4.1.311.10.3.16    = KP_CSP_SIGNATURE
1.3.6.1.4.1.311.10.4.1     = YESNO_TRUST_ATTR
1.3.6.1.4.1.311.10.5.1     = DRM
1.3.6.1.4.1.311.10.5.2     = DRM_INDIVIDUALIZATION
1.3.6.1.4.1.311.10.6.1     = LICENSES
1.3.6.1.4.1.311.10.6.2     = LICENSE_SERVER
1.3.6.1.4.1.311.10.7       = MICROSOFT_RDN_PREFIX
1.3.6.1.4.1.311.10.7.1     = KEYID_RDN
1.3.6.1.4.1.311.10.8.1     = REMOVE_CERTIFICATE
1.3.6.1.4.1.311.10.9.1     = CROSS_CERT_DIST_POINTS
1.3.6.1.4.1.311.10.10      = Microsoft CMC OIDs
1.3.6.1.4.1.311.10.10.1    = CMC_ADD_ATTRIBUTES
1.3.6.1.4.1.311.10.11      = Microsoft certificate property OIDs
1.3.6.1.4.1.311.10.11.     = CERT_PROP_ID_PREFIX
1.3.6.1.4.1.311.10.11.4    = CERT_MD5_HASH_PROP_ID
1.3.6.1.4.1.311.10.11.20   = CERT_KEY_IDENTIFIER_PROP_ID
1.3.6.1.4.1.311.10.11.28   = CERT_ISSUER_SERIAL_NUMBER_MD5_HASH_PROP_ID
1.3.6.1.4.1.311.10.11.29   = CERT_SUBJECT_NAME_MD5_HASH_PROP_ID
1.3.6.1.4.1.311.10.12      = CryptUI
1.3.6.1.4.1.311.10.12.1    = ANY_APPLICATION_POLICY
1.3.6.1.4.1.311.12         = Catalog
1.3.6.1.4.1.311.12.1.1     = CATALOG_LIST
1.3.6.1.4.1.311.12.1.2     = CATALOG_LIST_MEMBER
1.3.6.1.4.1.311.12.2.1     = CAT_NAMEVALUE
1.3.6.1.4.1.311.12.2.2     = CAT_MEMBERINFO
1.3.6.1.4.1.311.12.2.3     = CAT_MEMBERINFO2
1.3.6.1.4.1.311.13         = Microsoft PKCS10 OIDs
1.3.6.1.4.1.311.13.1       = RENEWAL_CERTIFICATE
1.3.6.1.4.1.311.13.2.1     = ENROLLMENT_NAME_VALUE_PAIR
1.3.6.1.4.1.311.13.2.2     = ENROLLMENT_CSP_PROVIDER
1.3.6.1.4.1.311.13.2.3     = OS_VERSION
1.3.6.1.4.1.311.15         = Microsoft Java
1.3.6.1.4.1.311.16         = Microsoft Outlook/Exchange
1.3.6.1.4.1.311.16.4       = Outlook Express
1.3.6.1.4.1.311.17         = Microsoft PKCS12 attributes
1.3.6.1.4.1.311.17.1       = PKCS_12_KEY_PROVIDER_NAME_ATTR
1.3.6.1.4.1.311.17.2       = LOCAL_MACHINE_KEYSET
1.3.6.1.4.1.311.17.3       = PKCS_12_EXTENDED_ATTRIBUTES
1.3.6.1.4.1.311.18         = Microsoft Hydra
1.3.6.1.4.1.311.19         = Microsoft ISPU Test
1.3.6.1.4.1.311.20         = Microsoft Enrollment Infrastructure
1.3.6.1.4.1.311.20.1       = AUTO_ENROLL_CTL_USAGE
1.3.6.1.4.1.311.20.2       = ENROLL_CERTTYPE_EXTENSION
1.3.6.1.4.1.311.20.2.1     = ENROLLMENT_AGENT
1.3.6.1.4.1.311.20.2.2     = KP_SMARTCARD_LOGON
1.3.6.1.4.1.311.20.2.3     = NT_PRINCIPAL_NAME
1.3.6.1.4.1.311.20.3       = CERT_MANIFOLD
1.3.6.1.4.1.311.21         = Microsoft CertSrv Infrastructure
1.3.6.1.4.1.311.21.1       = CERTSRV_CA_VERSION
1.3.6.1.4.1.311.21.2       = CERTSRV_PREVIOUS_CERT_HASH
1.3.6.1.4.1.311.21.3       = CRL_VIRTUAL_BASE
1.3.6.1.4.1.311.21.4       = CRL_NEXT_PUBLISH
1.3.6.1.4.1.311.21.5       = KP_CA_EXCHANGE
1.3.6.1.4.1.311.21.6       = KP_KEY_RECOVERY_AGENT
1.3.6.1.4.1.311.21.7       = CERTIFICATE_TEMPLATE
1.3.6.1.4.1.311.21.8       = ENTERPRISE_OID_ROOT
1.3.6.1.4.1.311.21.9       = RDN_DUMMY_SIGNER
1.3.6.1.4.1.311.21.10      = APPLICATION_CERT_POLICIES
1.3.6.1.4.1.311.21.11      = APPLICATION_POLICY_MAPPINGS
1.3.6.1.4.1.311.21.12      = APPLICATION_POLICY_CONSTRAINTS
1.3.6.1.4.1.311.21.13      = ARCHIVED_KEY_ATTR
1.3.6.1.4.1.311.21.14      = CRL_SELF_CDP
1.3.6.1.4.1.311.21.15      = REQUIRE_CERT_CHAIN_POLICY
1.3.6.1.4.1.311.21.16      = ARCHIVED_KEY_CERT_HASH
1.3.6.1.4.1.311.21.17      = ISSUED_CERT_HASH
1.3.6.1.4.1.311.21.19      = DS_EMAIL_REPLICATION
1.3.6.1.4.1.311.21.20      = REQUEST_CLIENT_INFO
1.3.6.1.4.1.311.21.21      = ENCRYPTED_KEY_HASH
1.3.6.1.4.1.311.21.22      = CERTSRV_CROSSCA_VERSION
1.3.6.1.4.1.311.25         = Microsoft Directory Service
1.3.6.1.4.1.311.25.1       = NTDS_REPLICATION
1.3.6.1.4.1.311.30         = IIS
1.3.6.1.4.1.311.31         = Windows updates and service packs
1.3.6.1.4.1.311.31.1       = PRODUCT_UPDATE
1.3.6.1.4.1.311.40         = Fonts
1.3.6.1.4.1.311.41         = Microsoft Licensing and Registration
1.3.6.1.4.1.311.42         = Microsoft Corporate PKI (ITG)
1.3.6.1.4.1.311.60.1.1     = ROOT_PROGRAM_FLAGS
1.3.6.1.4.1.311.61.1.1     = KP_KERNEL_MODE_CODE_SIGNING
1.3.6.1.4.1.311.88         = CAPICOM
1.3.6.1.4.1.311.88.1       = CAPICOM_VERSION
1.3.6.1.4.1.311.88.2       = CAPICOM_ATTRIBUTE
1.3.6.1.4.1.311.88.2.1     = CAPICOM_DOCUMENT_NAME
1.3.6.1.4.1.311.88.2.2     = CAPICOM_DOCUMENT_DESCRIPTION
1.3.6.1.4.1.311.88.3       = CAPICOM_ENCRYPTED_DATA
1.3.6.1.4.1.311.88.3.1     = CAPICOM_ENCRYPTED_CONTENT
1.3.6.1.5.2.3.5            = PKINIT_KP_KDC
1.3.6.1.5.5.7              = PKIX
1.3.6.1.5.5.7.1            = PKIX_PE
1.3.6.1.5.5.7.1.1          = AUTHORITY_INFO_ACCESS
1.3.6.1.5.5.7.1.2          = BIOMETRIC_EXT
1.3.6.1.5.5.7.1.3          = QC_STATEMENTS_EXT
1.3.6.1.5.5.7.1.11         = SUBJECT_INFO_ACCESS
1.3.6.1.5.5.7.1.12         = LOGOTYPE_EXT
1.3.6.1.5.5.7.2.1          = PKIX_POLICY_QUALIFIER_CPS
1.3.6.1.5.5.7.2.2          = PKIX_POLICY_QUALIFIER_USERNOTICE
1.3.6.1.5.5.7.3            = PKIX_KP
1.3.6.1.5.5.7.3.1          = PKIX_KP_SERVER_AUTH
1.3.6.1.5.5.7.3.2          = PKIX_KP_CLIENT_AUTH
1.3.6.1.5.5.7.3.3          = PKIX_KP_CODE_SIGNING
1.3.6.1.5.5.7.3.4          = PKIX_KP_EMAIL_PROTECTION
1.3.6.1.5.5.7.3.5          = PKIX_KP_IPSEC_END_SYSTEM
1.3.6.1.5.5.7.3.6          = PKIX_KP_IPSEC_TUNNEL
1.3.6.1.5.5.7.3.7          = PKIX_KP_IPSEC_USER
1.3.6.1.5.5.7.3.8          = PKIX_KP_TIMESTAMP_SIGNING
1.3.6.1.5.5.7.3.9          = PKIX_KP_OCSP_SIGNING
1.3.6.1.5.5.7.6.2          = PKIX_NO_SIGNATURE
1.3.6.1.5.5.7.7            = CMC
1.3.6.1.5.5.7.7.1          = CMC_STATUS_INFO
1.3.6.1.5.5.7.7.2          = CMC_IDENTIFICATION
1.3.6.1.5.5.7.7.3          = CMC_IDENTITY_PROOF
1.3.6.1.5.5.7.7.4          = CMC_DATA_RETURN
1.3.6.1.5.5.7.7.5          = CMC_TRANSACTION_ID
1.3.6.1.5.5.7.7.6          = CMC_SENDER_NONCE
1.3.6.1.5.5.7.7.7          = CMC_RECIPIENT_NONCE
1.3.6.1.5.5.7.7.8          = CMC_ADD_EXTENSIONS
1.3.6.1.5.5.7.7.9          = CMC_ENCRYPTED_POP
1.3.6.1.5.5.7.7.10         = CMC_DECRYPTED_POP
1.3.6.1.5.5.7.7.11         = CMC_LRA_POP_WITNESS
1.3.6.1.5.5.7.7.15         = CMC_GET_CERT
1.3.6.1.5.5.7.7.16         = CMC_GET_CRL
1.3.6.1.5.5.7.7.17         = CMC_REVOKE_REQUEST
1.3.6.1.5.5.7.7.18         = CMC_REG_INFO
1.3.6.1.5.5.7.7.19         = CMC_RESPONSE_INFO
1.3.6.1.5.5.7.7.21         = CMC_QUERY_PENDING
1.3.6.1.5.5.7.7.22         = CMC_ID_POP_LINK_RANDOM
1.3.6.1.5.5.7.7.23         = CMC_ID_POP_LINK_WITNESS
1.3.6.1.5.5.7.7.24         = CMC_ID_CONFIRM_CERT_ACCEPTANCE
1.3.6.1.5.5.7.12.2         = CT_PKI_DATA
1.3.6.1.5.5.7.12.3         = CT_PKI_RESPONSE
1.3.6.1.5.5.7.20.1         = LOYALTY_OTHER_LOGOTYPE
1.3.6.1.5.5.7.20.2         = BACKGROUND_OTHER_LOGOTYPE
1.3.6.1.5.5.7.48           = PKIX_ACC_DESCR
1.3.6.1.5.5.7.48.1         = PKIX_OCSP
1.3.6.1.5.5.7.48.1.1       = PKIX_OCSP_BASIC_SIGNED_RESPONSE
1.3.6.1.5.5.7.48.1.2       = PKIX_OCSP_NONCE
1.3.6.1.5.5.7.48.1.5       = PKIX_OCSP_NOCHECK
1.3.6.1.5.5.7.48.2         = PKIX_CA_ISSUERS
1.3.6.1.5.5.7.48.3         = PKIX_TIME_STAMPING
1.3.6.1.5.5.7.48.5         = PKIX_CA_REPOSITORY
1.3.6.1.5.5.8.2.2          = IPSEC_KP_IKE_INTERMEDIATE
1.3.14                     = OIW
1.3.14.3.2                 = OIWSEC
1.3.14.3.2.2               = OIWSEC_md4RSA
1.3.14.3.2.3               = OIWSEC_md5RSA
1.3.14.3.2.4               = OIWSEC_md4RSA2
1.3.14.3.2.6               = OIWSEC_desECB
1.3.14.3.2.7               = OIWSEC_desCBC
1.3.14.3.2.8               = OIWSEC_desOFB
1.3.14.3.2.9               = OIWSEC_desCFB
1.3.14.3.2.10              = OIWSEC_desMAC
1.3.14.3.2.11              = OIWSEC_rsaSign
1.3.14.3.2.12              = OIWSEC_dsa
1.3.14.3.2.13              = OIWSEC_shaDSA
1.3.14.3.2.14              = OIWSEC_mdc2RSA
1.3.14.3.2.15              = OIWSEC_shaRSA
1.3.14.3.2.16              = OIWSEC_dhCommMod
1.3.14.3.2.17              = OIWSEC_desEDE
1.3.14.3.2.18              = OIWSEC_sha
1.3.14.3.2.19              = OIWSEC_mdc2
1.3.14.3.2.20              = OIWSEC_dsaComm
1.3.14.3.2.21              = OIWSEC_dsaCommSHA
1.3.14.3.2.22              = OIWSEC_rsaXchg
1.3.14.3.2.23              = OIWSEC_keyHashSeal
1.3.14.3.2.24              = OIWSEC_md2RSASign
1.3.14.3.2.25              = OIWSEC_md5RSASign
1.3.14.3.2.26              = OIWSEC_sha1
1.3.14.3.2.27              = OIWSEC_dsaSHA1
1.3.14.3.2.28              = OIWSEC_dsaCommSHA1
1.3.14.3.2.29              = OIWSEC_sha1RSASign
1.3.14.7.2                 = OIWDIR
1.3.14.7.2.1               = OIWDIR_CRPT
1.3.14.7.2.2               = OIWDIR_HASH
1.3.14.7.2.2.1             = OIWDIR_md2
1.3.14.7.2.3               = OIWDIR_SIGN
1.3.14.7.2.3.1             = OIWDIR_md2RSA
1.3.132.0.34               = ECC_CURVE_P384
1.3.132.0.35               = ECC_CURVE_P521
1.3.133.16.840.63.0.2      = DH_SINGLE_PASS_STDDH_SHA1_KDF
2.5                        = DS
2.5.4.3                    = COMMON_NAME
2.5.4.4                    = SUR_NAME
2.5.4.5                    = DEVICE_SERIAL_NUMBER
2.5.4.6                    = COUNTRY_NAME
2.5.4.7                    = LOCALITY_NAME
2.5.4.8                    = STATE_OR_PROVINCE_NAME
2.5.4.9                    = STREET_ADDRESS
2.5.4.10                   = ORGANIZATION_NAME
2.5.4.11                   = ORGANIZATIONAL_UNIT_NAME
2.5.4.12                   = TITLE
2.5.4.13                   = DESCRIPTION
2.5.4.14                   = SEARCH_GUIDE
2.5.4.15                   = BUSINESS_CATEGORY
2.5.4.16                   = POSTAL_ADDRESS
2.5.4.17                   = POSTAL_CODE
2.5.4.18                   = POST_OFFICE_BOX
2.5.4.19                   = PHYSICAL_DELIVERY_OFFICE_NAME
2.5.4.20                   = TELEPHONE_NUMBER
2.5.4.21                   = TELEX_NUMBER
2.5.4.22                   = TELETEXT_TERMINAL_IDENTIFIER
2.5.4.23                   = FACSIMILE_TELEPHONE_NUMBER
2.5.4.24                   = X21_ADDRESS
2.5.4.25                   = INTERNATIONAL_ISDN_NUMBER
2.5.4.26                   = REGISTERED_ADDRESS
2.5.4.27                   = DESTINATION_INDICATOR
2.5.4.28                   = PREFERRED_DELIVERY_METHOD
2.5.4.29                   = PRESENTATION_ADDRESS
2.5.4.30                   = SUPPORTED_APPLICATION_CONTEXT
2.5.4.31                   = MEMBER
2.5.4.32                   = OWNER
2.5.4.33                   = ROLE_OCCUPANT
2.5.4.34                   = SEE_ALSO
2.5.4.35                   = USER_PASSWORD
2.5.4.36                   = USER_CERTIFICATE
2.5.4.37                   = CA_CERTIFICATE
2.5.4.38                   = AUTHORITY_REVOCATION_LIST
2.5.4.39                   = CERTIFICATE_REVOCATION_LIST
2.5.4.40                   = CROSS_CERTIFICATE_PAIR
2.5.4.42                   = GIVEN_NAME
2.5.4.43                   = INITIALS
2.5.4.46                   = DN_QUALIFIER
2.5.8                      = DSALG
2.5.8.1                    = DSALG_CRPT
2.5.8.1.1                  = DSALG_RSA
2.5.8.2                    = DSALG_HASH
2.5.8.3                    = DSALG_SIGN
2.5.29.1                   = AUTHORITY_KEY_IDENTIFIER
2.5.29.2                   = KEY_ATTRIBUTES
2.5.29.3                   = CERT_POLICIES_95
2.5.29.4                   = KEY_USAGE_RESTRICTION
2.5.29.5                   = LEGACY_POLICY_MAPPINGS
2.5.29.7                   = SUBJECT_ALT_NAME
2.5.29.8                   = ISSUER_ALT_NAME
2.5.29.9                   = SUBJECT_DIR_ATTRS
2.5.29.10                  = BASIC_CONSTRAINTS
2.5.29.14                  = SUBJECT_KEY_IDENTIFIER
2.5.29.15                  = KEY_USAGE
2.5.29.16                  = PRIVATEKEY_USAGE_PERIOD
2.5.29.17                  = SUBJECT_ALT_NAME2
2.5.29.18                  = ISSUER_ALT_NAME2
2.5.29.19                  = BASIC_CONSTRAINTS2
2.5.29.20                  = CRL_NUMBER
2.5.29.21                  = CRL_REASON_CODE
2.5.29.23                  = REASON_CODE_HOLD
2.5.29.27                  = DELTA_CRL_INDICATOR
2.5.29.28                  = ISSUING_DIST_POINT
2.5.29.30                  = NAME_CONSTRAINTS
2.5.29.31                  = CRL_DIST_POINTS
2.5.29.32                  = CERT_POLICIES
2.5.29.32.0                = ANY_CERT_POLICY
2.5.29.33                  = POLICY_MAPPINGS
2.5.29.35                  = AUTHORITY_KEY_IDENTIFIER2
2.5.29.36                  = POLICY_CONSTRAINTS
2.5.29.37                  = ENHANCED_KEY_USAGE
2.5.29.37.0                = ANY_ENHANCED_KEY_USAGE
2.5.29.46                  = FRESHEST_CRL
2.5.29.54                  = INHIBIT_ANY_POLICY
2.16.840.1.101.2.1         = INFOSEC
2.16.840.1.101.2.1.1.1     = INFOSEC_sdnsSignature
2.16.840.1.101.2.1.1.2     = INFOSEC_mosaicSignature
2.16.840.1.101.2.1.1.3     = INFOSEC_sdnsConfidentiality
2.16.840.1.101.2.1.1.4     = INFOSEC_mosaicConfidentiality
2.16.840.1.101.2.1.1.5     = INFOSEC_sdnsIntegrity
2.16.840.1.101.2.1.1.6     = INFOSEC_mosaicIntegrity
2.16.840.1.101.2.1.1.7     = INFOSEC_sdnsTokenProtection
2.16.840.1.101.2.1.1.8     = INFOSEC_mosaicTokenProtection
2.16.840.1.101.2.1.1.9     = INFOSEC_sdnsKeyManagement
2.16.840.1.101.2.1.1.10    = INFOSEC_mosaicKeyManagement
2.16.840.1.101.2.1.1.11    = INFOSEC_sdnsKMandSig
2.16.840.1.101.2.1.1.12    = INFOSEC_mosaicKMandSig
2.16.840.1.101.2.1.1.13    = INFOSEC_SuiteASignature
2.16.840.1.101.2.1.1.14    = INFOSEC_SuiteAConfidentiality
2.16.840.1.101.2.1.1.15    = INFOSEC_SuiteAIntegrity
2.16.840.1.101.2.1.1.16    = INFOSEC_SuiteATokenProtection
2.16.840.1.101.2.1.1.17    = INFOSEC_SuiteAKeyManagement
2.16.840.1.101.2.1.1.18    = INFOSEC_SuiteAKMandSig
2.16.840.1.101.2.1.1.19    = INFOSEC_mosaicUpdatedSig
2.16.840.1.101.2.1.1.20    = INFOSEC_mosaicKMandUpdSig
2.16.840.1.101.2.1.1.21    = INFOSEC_mosaicUpdatedInteg
2.16.840.1.101.3.4.1.2     = NIST_AES128_CBC
2.16.840.1.101.3.4.1.5     = NIST_AES128_WRAP
2.16.840.1.101.3.4.1.22    = NIST_AES192_CBC
2.16.840.1.101.3.4.1.25    = NIST_AES192_WRAP
2.16.840.1.101.3.4.1.42    = NIST_AES256_CBC
2.16.840.1.101.3.4.1.45    = NIST_AES256_WRAP
2.16.840.1.101.3.4.2.1     = NIST_sha256
2.16.840.1.101.3.4.2.2     = NIST_sha384
2.16.840.1.101.3.4.2.3     = NIST_sha512
2.16.840.1.113730          = NETSCAPE
2.16.840.1.113730.1        = NETSCAPE_CERT_EXTENSION
2.16.840.1.113730.1.1      = NETSCAPE_CERT_TYPE
2.16.840.1.113730.1.2      = NETSCAPE_BASE_URL
2.16.840.1.113730.1.3      = NETSCAPE_REVOCATION_URL
2.16.840.1.113730.1.4      = NETSCAPE_CA_REVOCATION_URL
2.16.840.1.113730.1.7      = NETSCAPE_CERT_RENEWAL_URL
2.16.840.1.113730.1.8      = NETSCAPE_CA_POLICY_URL
2.16.840.1.113730.1.12     = NETSCAPE_SSL_SERVER_NAME
2.16.840.1.113730.1.13     = NETSCAPE_COMMENT
2.16.840.1.113730.2        = NETSCAPE_DATA_TYPE
2.16.840.1.113730.2.5      = NETSCAPE_CERT_SEQUENCE
2.16.840.1.113730.4.1      = SGC_NETSCAPE
2.16.840.1.113733.1.6.9    = VERISIGN_PRIVATE_6_9
2.16.840.1.113733.1.6.11   = VERISIGN_ONSITE_JURISDICTION_HASH
2.16.840.1.113733.1.6.13   = VERISIGN_BITSTRING_6_13
2.16.840.1.113733.1.7.1.1  = CERT_POLICIES_95_QUALIFIER1
2.16.840.1.113733.1.8.1    = VERISIGN_ISS_STRONG_CRYPTO
